"","country","year","admin1","admin2","vaccine_name","target_define","doses","target_number"
"5743","GHA",2022,"Upper West","Wa East","YFV","SURVIVING_INFANT",4126,4642
"5744","GHA",2022,"Upper West","Wa Municipal","YFV","SURVIVING_INFANT",8720,8990
"5745","GHA",2022,"Upper West","Wa West","YFV","SURVIVING_INFANT",5130,4861
"5746","GHA",2022,"Volta","Adaklu","YFV","SURVIVING_INFANT",2138,2539
"5747","GHA",2022,"Volta","Afadjato South","YFV","SURVIVING_INFANT",4222,3913
"5748","GHA",2022,"Volta","Agortime-Ziope","YFV","SURVIVING_INFANT",2101,2575
"5749","GHA",2022,"Volta","Akatsi North","YFV","SURVIVING_INFANT",1733,2296
"5750","GHA",2022,"Volta","Akatsi South","YFV","SURVIVING_INFANT",4316,4683
"5751","GHA",2022,"Volta","Anloga","YFV","SURVIVING_INFANT",3140,4779
"5752","GHA",2022,"Volta","Central Tongu","YFV","SURVIVING_INFANT",3542,4337
"5753","GHA",2022,"Volta","Ho","YFV","SURVIVING_INFANT",6339,8184
"5754","GHA",2022,"Volta","Ho West","YFV","SURVIVING_INFANT",4384,4300
"5755","GHA",2022,"Volta","Hohoe","YFV","SURVIVING_INFANT",3793,4657
"5756","GHA",2022,"Volta","Keta","YFV","SURVIVING_INFANT",3239,4140
"5757","GHA",2022,"Volta","Ketu North","YFV","SURVIVING_INFANT",5113,5573
"5758","GHA",2022,"Volta","Ketu South","YFV","SURVIVING_INFANT",7001,11079
"5759","GHA",2022,"Volta","Kpando","YFV","SURVIVING_INFANT",2474,3331
"5760","GHA",2022,"Volta","North Dayi","YFV","SURVIVING_INFANT",2225,2564
